player_id,ab_group,chest_opens,legendary_drops,legendary_drop_rate_player,first_legendary_date,gear_drops,hero_shards_collected,characters_unlocked_from_chests,gems_spent_on_chests
P0000053,control,0,0,0.0,,0,1,0,0
P0000054,control,50,1,0.02,2026-05-24,19,191,5,14255
P0000055,variant,0,0,0.0,,0,2,0,3
P0000056,variant,0,0,0.0,,0,1,0,1
P0000057,control,2,1,0.5,2026-06-23,2,14,1,461
P0000058,variant,0,0,0.0,,0,0,0,0
P0000059,variant,1,0,0.0,,1,3,0,221
P0000060,control,0,0,0.0,,0,1,0,1
P0000061,variant,0,0,0.0,,0,1,0,0
P0000062,control,2,0,0.0,,0,4,0,589
P0000063,control,0,0,0.0,,0,1,0,1
P0000064,control,0,0,0.0,,0,1,0,0
P0000065,variant,0,0,0.0,,0,0,0,0
P0000066,variant,0,0,0.0,,0,0,0,1
P0000067,control,0,0,0.0,,0,2,0,0
P0000068,control,302,7,0.0232,2026-05-24,124,1133,31,70615
P0000069,variant,0,0,0.0,,0,0,0,0
P0000070,control,1,0,0.0,,1,3,0,279
P0000071,control,1,0,0.0,,0,6,0,208
P0000072,control,0,0,0.0,,0,0,0,0
P0000073,control,0,0,0.0,,0,1,0,0
P0000074,control,0,0,0.0,,0,5,0,2
P0000075,variant,1,0,0.0,,1,10,0,271
P0000076,variant,0,0,0.0,,0,0,0,0
P0000077,variant,0,0,0.0,,0,0,0,2
P0000078,variant,1,0,0.0,,1,1,0,224
P0000079,variant,0,0,0.0,,0,0,0,1
P0000080,variant,0,0,0.0,,0,3,0,0
P0000081,variant,0,0,0.0,,0,0,0,0
P0000082,control,4,0,0.0,,3,30,0,1014
P0000083,variant,0,0,0.0,,0,0,0,0
P0000084,variant,1,0,0.0,,1,11,0,272
P0000085,control,0,0,0.0,,0,1,0,2
P0000086,control,0,0,0.0,,0,1,0,0
P0000087,variant,6,0,0.0,,1,41,0,1446
P0000088,control,0,0,0.0,,0,0,0,0
P0000089,control,1,0,0.0,,0,3,0,215
P0000090,control,4,0,0.0,,1,24,0,922
P0000091,variant,0,0,0.0,,0,0,0,1
P0000092,variant,0,0,0.0,,0,0,0,1
P0000093,control,0,0,0.0,,0,0,0,1
P0000094,variant,0,0,0.0,,0,2,0,1
P0000095,variant,0,0,0.0,,0,1,0,0
P0000096,control,0,0,0.0,,0,0,0,1
P0000097,variant,4,0,0.0,,4,19,0,748
P0000098,control,0,0,0.0,,0,0,0,0
P0000099,variant,0,0,0.0,,0,4,0,1
P0000100,control,0,0,0.0,,0,0,0,0
P0000101,control,0,0,0.0,,0,0,0,0
P0000102,variant,2,1,0.5,2026-03-12,2,11,1,533
P0000103,variant,0,0,0.0,,0,0,0,0
P0000104,variant,3,0,0.0,,1,13,0,762
P0000105,variant,0,0,0.0,,0,2,0,0
P0000106,control,1,0,0.0,,0,2,0,236
P0000107,variant,0,0,0.0,,0,3,0,0
P0000108,control,0,0,0.0,,0,1,0,4
P0000109,variant,0,0,0.0,,0,0,0,0
P0000110,variant,1,0,0.0,,0,7,0,221
P0000111,control,0,0,0.0,,0,1,0,0
P0000112,control,0,0,0.0,,0,0,0,0
P0000113,control,0,0,0.0,,0,1,0,0
P0000114,variant,0,0,0.0,,0,0,0,1
P0000115,variant,0,0,0.0,,0,0,0,0
P0000116,variant,2,0,0.0,,1,9,0,465
P0000117,variant,6,0,0.0,,0,41,0,1370
P0000118,control,2,0,0.0,,1,22,0,492
P0000119,control,0,0,0.0,,0,3,0,3
P0000120,control,10,0,0.0,2026-04-24,1,68,0,2355
P0000121,variant,4,0,0.0,,2,14,0,1023
P0000122,variant,6,0,0.0,,3,32,0,1495
P0000123,variant,0,0,0.0,,0,1,0,5
P0000124,control,1,0,0.0,,1,9,0,251
P0000125,control,1,0,0.0,,1,4,0,259
P0000126,variant,0,0,0.0,,0,0,0,1
P0000127,variant,1,0,0.0,,0,3,0,242
P0000128,variant,49,2,0.0408,2026-05-15,15,195,5,12283
P0000129,control,0,0,0.0,,0,1,0,1
P0000130,control,0,0,0.0,,0,1,0,0
P0000131,variant,0,0,0.0,,0,1,0,1
P0000132,control,0,0,0.0,,0,0,0,0
P0000133,variant,1,0,0.0,,0,6,0,236
P0000134,control,2,0,0.0,,2,19,0,448
P0000135,variant,0,0,0.0,,0,0,0,0
P0000136,control,2,0,0.0,,0,17,0,455
P0000137,control,0,0,0.0,,0,2,0,2
P0000138,variant,3,0,0.0,,3,33,0,675
P0000139,variant,0,0,0.0,,0,0,0,2
P0000140,control,3,0,0.0,,2,20,0,854
P0000141,variant,45,1,0.0222,2026-05-27,26,183,4,12440
P0000142,control,0,0,0.0,,0,1,0,0
P0000143,control,4,0,0.0,,3,20,0,1034
P0000144,control,0,0,0.0,,0,0,0,0
P0000145,variant,1,0,0.0,,1,6,0,216
P0000146,control,0,0,0.0,,0,1,0,2
P0000147,variant,0,0,0.0,,0,2,0,3
P0000148,variant,0,0,0.0,,0,0,0,0
P0000149,variant,0,0,0.0,,0,0,0,0
P0000150,variant,0,0,0.0,,0,0,0,0
P0000151,control,0,0,0.0,,0,0,0,1
P0000152,variant,0,0,0.0,,0,1,0,1
P0000153,variant,2,0,0.0,,0,14,0,541
P0000154,control,1,1,1.0,2026-04-06,1,5,1,311
P0000155,control,0,0,0.0,,0,3,0,0
P0000156,control,9,0,0.0,,4,49,0,2312
P0000157,control,0,0,0.0,,0,0,0,0
P0000158,variant,1,0,0.0,,0,2,0,238
P0000159,control,1,0,0.0,,0,8,0,295
P0000160,variant,0,0,0.0,,0,0,0,1
P0000161,variant,0,0,0.0,,0,2,0,2
P0000162,variant,0,0,0.0,,0,1,0,0
P0000163,variant,0,0,0.0,,0,0,0,1
P0000164,variant,0,0,0.0,,0,0,0,0
P0000165,control,1,0,0.0,,0,4,0,313
P0000166,variant,5,0,0.0,,0,21,0,1335
P0000167,control,0,0,0.0,,0,0,0,0
P0000168,variant,0,0,0.0,,0,1,0,0
P0000169,variant,0,0,0.0,,0,0,0,0
P0000170,variant,4,1,0.25,2026-06-08,2,13,1,1083
P0000171,control,0,0,0.0,,0,2,0,3
P0000172,control,0,0,0.0,,0,1,0,2
P0000173,control,0,0,0.0,,0,0,0,0
P0000174,control,4,0,0.0,,2,19,0,1102
P0000175,control,1,0,0.0,,0,10,0,249
P0000176,control,0,0,0.0,,0,4,0,1
P0000177,control,1,1,1.0,2026-06-25,0,4,1,284
P0000178,variant,2,0,0.0,,0,7,0,546
P0000179,control,0,0,0.0,,0,1,0,0
P0000180,control,2,0,0.0,,1,13,0,495
P0000181,variant,1,0,0.0,,1,7,0,254
P0000182,variant,0,0,0.0,,0,0,0,0
P0000183,variant,1,0,0.0,,0,8,0,301
P0000184,variant,0,0,0.0,,0,0,0,0
P0000185,control,10,0,0.0,,4,44,0,2356
P0000186,control,1,0,0.0,,1,3,0,209
P0000187,control,0,0,0.0,,0,1,0,0
P0000188,variant,0,0,0.0,,0,0,0,1
P0000189,control,1,0,0.0,,0,3,0,369
P0000190,control,0,0,0.0,,0,0,0,1
P0000191,control,0,0,0.0,,0,0,0,0
P0000192,control,0,0,0.0,,0,1,0,1
P0000193,control,0,0,0.0,,0,1,0,2
P0000194,control,1,0,0.0,,1,6,0,187
P0000195,variant,0,0,0.0,,0,1,0,3
P0000196,control,0,0,0.0,,0,1,0,0
P0000197,variant,0,0,0.0,,0,0,0,0
P0000198,variant,0,0,0.0,,0,1,0,1
P0000199,variant,0,0,0.0,,0,2,0,1
P0000200,control,0,0,0.0,,0,0,0,0
P0000201,variant,0,0,0.0,,0,0,0,0
P0000202,control,1,0,0.0,,1,3,0,241
P0000203,variant,0,0,0.0,,0,0,0,1
P0000204,variant,1,0,0.0,,1,3,0,261
P0000205,control,0,0,0.0,,0,0,0,0
P0000206,variant,1,0,0.0,,1,3,0,280
P0000207,variant,0,0,0.0,,0,0,0,0
P0000208,variant,0,0,0.0,,0,0,0,3
P0000209,control,4,0,0.0,,1,24,0,1042
P0000210,variant,0,0,0.0,,0,0,0,0
P0000211,control,0,0,0.0,,0,1,0,0
P0000212,variant,1,0,0.0,,1,3,0,268
P0000213,variant,0,0,0.0,,0,0,0,0
P0000214,control,0,0,0.0,,0,0,0,0
P0000215,control,2,0,0.0,,1,4,0,565
P0000216,control,0,0,0.0,,0,0,0,2
P0000217,variant,0,0,0.0,,0,1,0,1
P0000218,variant,6,0,0.0,,4,48,0,1388
P0000219,control,0,0,0.0,,0,1,0,0
P0000220,control,0,0,0.0,,0,7,0,3
P0000221,variant,2,1,0.5,2026-06-16,0,10,1,627
P0000222,variant,0,0,0.0,,0,1,0,1
P0000223,control,1,0,0.0,,0,9,0,282
P0000224,variant,0,0,0.0,,0,0,0,0
P0000225,variant,2,1,0.5,2026-07-07,2,7,1,495
P0000226,control,0,0,0.0,,0,0,0,0
P0000227,control,0,0,0.0,,0,0,0,0
P0000228,variant,0,0,0.0,,0,1,0,0
P0000229,variant,4,0,0.0,,3,31,0,923
P0000230,variant,0,0,0.0,,0,1,0,2
P0000231,variant,0,0,0.0,,0,1,0,0
P0000232,variant,1,0,0.0,,0,6,0,243
P0000233,control,0,0,0.0,,0,2,0,1
P0000234,variant,0,0,0.0,,0,0,0,2
P0000235,control,0,0,0.0,,0,1,0,2
P0000236,control,0,0,0.0,,0,0,0,0
P0000237,variant,4,0,0.0,,0,21,0,1207
P0000238,variant,6,0,0.0,2026-06-22,3,29,0,1465
P0000239,variant,7,0,0.0,,3,36,0,1807
P0000240,variant,5,0,0.0,,2,33,0,1156
P0000241,control,0,0,0.0,,0,1,0,0
P0000242,variant,0,0,0.0,,0,0,0,0
P0000243,variant,0,0,0.0,,0,1,0,2
P0000244,control,4,0,0.0,,1,20,0,834
P0000245,control,0,0,0.0,,0,1,0,1
P0000246,control,0,0,0.0,,0,0,0,0
P0000247,variant,0,0,0.0,,0,2,0,0
P0000248,control,0,0,0.0,,0,3,0,4
P0000249,variant,0,0,0.0,,0,0,0,0
P0000250,variant,1,1,1.0,2026-06-28,0,7,1,281
P0000251,variant,1,0,0.0,,1,3,0,259
P0000252,control,0,0,0.0,,0,0,0,0
P0000253,variant,0,0,0.0,,0,0,0,2
P0000254,control,1,0,0.0,,1,4,0,244
P0000255,variant,0,0,0.0,,0,0,0,1
P0000256,control,0,0,0.0,,0,3,0,1
P0000257,variant,2,0,0.0,,1,7,0,461
P0000258,control,1,0,0.0,,0,8,0,223
P0000259,control,1,0,0.0,,0,10,0,239
P0000260,variant,0,0,0.0,,0,0,0,0
P0000261,control,0,0,0.0,,0,0,0,0
P0000262,control,2,0,0.0,,1,19,0,573
P0000263,control,0,0,0.0,,0,0,0,2
P0000264,control,0,0,0.0,,0,1,0,1
P0000265,variant,1,0,0.0,,1,10,0,225
P0000266,control,0,0,0.0,,0,1,0,2
P0000267,control,0,0,0.0,,0,0,0,0
P0000268,variant,0,0,0.0,,0,0,0,0
P0000269,control,1,0,0.0,,1,6,0,322
P0000270,variant,0,0,0.0,,0,0,0,1
P0000271,control,0,0,0.0,,0,2,0,2
P0000272,control,2,0,0.0,,0,12,0,489
P0000273,variant,3,0,0.0,,0,16,0,769
P0000274,variant,0,0,0.0,,0,1,0,2
P0000275,control,4,0,0.0,,1,31,0,1037
P0000276,control,50,0,0.0,,31,219,4,12161
P0000277,control,0,0,0.0,,0,0,0,0
P0000278,control,0,0,0.0,,0,1,0,1
P0000279,control,7,0,0.0,,2,29,0,1713
P0000280,control,0,0,0.0,,0,0,0,0
P0000281,control,0,0,0.0,,0,0,0,0
P0000282,control,5,0,0.0,,2,25,0,1339
P0000283,variant,1,0,0.0,,0,6,0,289
P0000284,control,6,0,0.0,,4,25,0,1511
P0000285,control,1,0,0.0,,0,4,0,187
P0000286,control,10,0,0.0,,2,47,0,2426
P0000287,control,1,0,0.0,,0,5,0,280
P0000288,variant,1,0,0.0,,1,2,0,264
P0000289,control,1,0,0.0,,0,4,0,237
P0000290,control,6,0,0.0,,3,32,0,1567
P0000291,control,1,0,0.0,,0,5,0,245
P0000292,control,0,0,0.0,,0,0,0,0
P0000293,variant,6,0,0.0,,2,29,0,1328
P0000294,control,0,0,0.0,,0,0,0,1
P0000295,variant,8,0,0.0,2026-05-12,4,64,0,2235
P0000296,control,0,0,0.0,,0,0,0,0
P0000297,variant,0,0,0.0,,0,1,0,1
P0000298,variant,0,0,0.0,,0,0,0,0
P0000299,control,0,0,0.0,,0,0,0,4
P0000300,variant,0,0,0.0,,0,0,0,0
P0000301,control,0,0,0.0,,0,0,0,1
P0000302,control,318,4,0.0126,2026-04-17,132,1190,29,77369
P0000303,control,1,0,0.0,,1,4,0,238
P0000304,variant,0,0,0.0,,0,0,0,0
P0000305,variant,2,0,0.0,,1,7,0,376
P0000306,control,3,0,0.0,,2,15,0,686
P0000307,variant,0,0,0.0,,0,0,0,0
P0000308,control,0,0,0.0,,0,0,0,0
P0000309,variant,0,0,0.0,,0,0,0,0
P0000310,control,0,0,0.0,,0,0,0,0
P0000311,variant,6,0,0.0,,4,29,0,1336
P0000312,variant,0,0,0.0,,0,0,0,2
P0000313,variant,7,0,0.0,,1,50,0,1718
P0000314,control,1,0,0.0,,1,10,0,254
P0000315,variant,0,0,0.0,,0,0,0,0
P0000316,variant,0,0,0.0,,0,1,0,1
P0000317,variant,0,0,0.0,,0,1,0,0
P0000318,control,0,0,0.0,,0,1,0,3
P0000319,variant,0,0,0.0,,0,0,0,0
P0000320,variant,2,0,0.0,,0,17,0,472
P0000321,control,0,0,0.0,,0,0,0,1
P0000322,variant,0,0,0.0,,0,0,0,1
P0000323,variant,0,0,0.0,,0,1,0,1
P0000324,variant,1,0,0.0,,1,2,0,277
P0000325,control,8,0,0.0,2026-05-30,4,44,0,1962
P0000326,variant,0,0,0.0,,0,0,0,2
P0000327,control,1,0,0.0,,0,3,0,222
P0000328,variant,0,0,0.0,,0,0,0,1
P0000329,variant,5,0,0.0,,1,21,0,1287
P0000330,variant,0,0,0.0,,0,1,0,0
P0000331,variant,0,0,0.0,,0,3,0,4
P0000332,control,0,0,0.0,,0,1,0,0
P0000333,variant,2,0,0.0,,0,24,0,457
P0000334,control,1,0,0.0,,1,5,0,217
P0000335,variant,13,1,0.0769,2026-06-01,4,54,2,3567
P0000336,variant,0,0,0.0,,0,0,0,2
P0000337,variant,0,0,0.0,,0,0,0,1
P0000338,control,3,0,0.0,,3,17,0,730
P0000339,control,0,0,0.0,,0,0,0,0
P0000340,variant,67,0,0.0,2026-06-06,36,282,5,16093
P0000341,control,4,1,0.25,2026-04-16,1,27,1,964
P0000342,control,6,0,0.0,2026-06-05,3,28,0,1568
P0000343,control,0,0,0.0,,0,1,0,0
P0000344,variant,0,0,0.0,,0,0,0,2
P0000345,control,1,0,0.0,,0,5,0,208
P0000346,variant,9,0,0.0,,5,49,0,2273
P0000347,variant,0,0,0.0,,0,0,0,0
P0000348,variant,3,0,0.0,2026-07-03,1,17,0,706
P0000349,variant,0,0,0.0,,0,2,0,1
P0000350,control,0,0,0.0,,0,0,0,2
P0000351,control,0,0,0.0,,0,0,0,0
P0000352,control,5,0,0.0,,1,37,0,1286
P0000353,variant,0,0,0.0,,0,2,0,0
P0000354,control,3,0,0.0,,3,13,0,728
P0000355,variant,0,0,0.0,,0,0,0,1
P0000356,variant,1,0,0.0,,0,5,0,231
P0000357,variant,0,0,0.0,,0,0,0,1
P0000358,control,1,0,0.0,,1,3,0,248
P0000359,variant,0,0,0.0,,0,1,0,2
P0000360,variant,0,0,0.0,,0,0,0,0
P0000361,control,3,0,0.0,,2,6,0,723
P0000362,variant,0,0,0.0,,0,0,0,0
P0000363,control,0,0,0.0,,0,0,0,1
P0000364,control,1,0,0.0,,1,7,0,273
P0000365,control,0,0,0.0,,0,3,0,0
P0000366,control,0,0,0.0,,0,0,0,2
P0000367,variant,0,0,0.0,,0,0,0,0
P0000368,control,1,0,0.0,,1,7,0,238
P0000369,variant,1,0,0.0,,1,7,0,265
P0000370,variant,2,0,0.0,,0,9,0,544
P0000371,control,0,0,0.0,,0,0,0,0
P0000372,variant,0,0,0.0,,0,0,0,1
P0000373,variant,4,0,0.0,,4,15,0,847
P0000374,control,10,0,0.0,,4,47,0,2262
P0000375,control,5,0,0.0,,2,26,0,1033
P0000376,variant,0,0,0.0,,0,2,0,2
P0000377,control,1,0,0.0,,1,6,0,199
P0000378,variant,0,0,0.0,,0,4,0,3
P0000379,variant,0,0,0.0,,0,0,0,1
P0000380,control,1,0,0.0,,0,3,0,254
P0000381,control,0,0,0.0,,0,3,0,2
P0000382,control,0,0,0.0,,0,0,0,1
P0000383,variant,19,0,0.0,,10,87,1,4983
P0000384,variant,0,0,0.0,,0,0,0,0
P0000385,control,0,0,0.0,,0,2,0,3
P0000386,control,0,0,0.0,,0,1,0,0
P0000387,variant,0,0,0.0,,0,0,0,1
P0000388,variant,0,0,0.0,,0,0,0,0
P0000389,control,1,0,0.0,,1,9,0,223
P0000390,control,0,0,0.0,,0,2,0,1
P0000391,control,2,1,0.5,2026-06-24,2,8,1,628
P0000392,variant,4,0,0.0,,2,24,0,1123
P0000393,control,0,0,0.0,,0,0,0,0
P0000394,variant,0,0,0.0,,0,0,0,0
P0000395,control,9,0,0.0,,8,57,0,2270
P0000396,control,1,0,0.0,,0,2,0,259
P0000397,control,0,0,0.0,,0,1,0,1
P0000398,control,0,0,0.0,,0,1,0,6
P0000399,variant,14,1,0.0714,2026-04-07,6,77,2,3660
P0000400,control,0,0,0.0,,0,1,0,2
P0000401,control,0,0,0.0,,0,0,0,1
P0000402,variant,1,0,0.0,,0,4,0,207
P0000403,variant,1,0,0.0,,1,3,0,261
P0000404,control,0,0,0.0,,0,0,0,2
P0000405,variant,0,0,0.0,,0,0,0,3
P0000406,variant,0,0,0.0,,0,0,0,0
P0000407,control,1,0,0.0,,0,2,0,275
P0000408,variant,0,0,0.0,,0,0,0,0
P0000409,control,0,0,0.0,,0,0,0,0
P0000410,control,4,0,0.0,,1,27,0,1116
P0000411,control,0,0,0.0,,0,0,0,1
P0000412,control,8,0,0.0,,2,41,0,1931
P0000413,control,0,0,0.0,,0,1,0,1
P0000414,control,9,0,0.0,2026-06-17,4,31,0,2601
P0000415,variant,0,0,0.0,,0,0,0,0
P0000416,variant,0,0,0.0,,0,1,0,1
P0000417,variant,31,1,0.0323,2026-06-29,10,109,3,7659
P0000418,variant,5,1,0.2,2026-06-04,3,26,1,1301
P0000419,variant,0,0,0.0,,0,0,0,2
P0000420,variant,0,0,0.0,,0,0,0,0
P0000421,control,0,0,0.0,,0,2,0,1
P0000422,variant,1,0,0.0,,1,0,0,254
P0000423,control,17,0,0.0,,7,66,1,4153
P0000424,variant,2,0,0.0,,0,11,0,472
P0000425,variant,1,0,0.0,,0,5,0,288
P0000426,control,3,0,0.0,,0,13,0,728
P0000427,variant,0,0,0.0,,0,0,0,0
P0000428,variant,1,0,0.0,,0,3,0,269
P0000429,control,3,0,0.0,,2,11,0,818
P0000430,control,1,0,0.0,,0,5,0,250
P0000431,variant,0,0,0.0,,0,1,0,0
P0000432,control,5,0,0.0,,2,13,0,1209
P0000433,variant,2,0,0.0,,0,4,0,497
P0000434,control,0,0,0.0,,0,0,0,0
P0000435,variant,1,0,0.0,,1,4,0,286
P0000436,variant,0,0,0.0,,0,0,0,1
P0000437,variant,4,0,0.0,,3,16,0,1138
P0000438,control,0,0,0.0,,0,0,0,0
P0000439,variant,0,0,0.0,,0,1,0,0
P0000440,control,0,0,0.0,,0,1,0,1
P0000441,control,3,0,0.0,,2,14,0,863
P0000442,variant,0,0,0.0,,0,0,0,4
P0000443,control,8,0,0.0,,3,33,0,1910
P0000444,control,6,0,0.0,,2,37,0,1586
P0000445,control,0,0,0.0,,0,0,0,0
P0000446,control,0,0,0.0,,0,1,0,0
P0000447,variant,0,0,0.0,,0,0,0,1
P0000448,variant,0,0,0.0,,0,0,0,0
P0000449,control,1,0,0.0,,1,2,0,253
P0000450,variant,0,0,0.0,,0,1,0,1
P0000451,variant,24,0,0.0,,8,110,1,6053
P0000452,control,0,0,0.0,,0,2,0,0
P0000453,variant,0,0,0.0,,0,1,0,0
P0000454,variant,0,0,0.0,,0,3,0,3
P0000455,variant,1,0,0.0,,1,4,0,234
P0000456,variant,0,0,0.0,,0,5,0,3
P0000457,control,0,0,0.0,,0,4,0,0
P0000458,control,0,0,0.0,,0,0,0,0
P0000459,control,1,0,0.0,,1,4,0,212
P0000460,control,0,0,0.0,,0,2,0,0
P0000461,control,0,0,0.0,,0,0,0,1
P0000462,control,0,0,0.0,,0,3,0,1
P0000463,variant,1,0,0.0,,1,2,0,260
P0000464,variant,1,0,0.0,,1,6,0,268
P0000465,control,0,0,0.0,,0,0,0,1
P0000466,variant,1,0,0.0,,0,5,0,242
P0000467,variant,0,0,0.0,,0,2,0,3
P0000468,control,0,0,0.0,,0,0,0,0
P0000469,variant,0,0,0.0,,0,1,0,0
P0000470,control,0,0,0.0,,0,1,0,1
P0000471,control,0,0,0.0,,0,1,0,3
P0000472,control,1,0,0.0,,0,4,0,302
P0000473,variant,0,0,0.0,,0,0,0,0
P0000474,control,2,0,0.0,,0,13,0,539
P0000475,control,1,0,0.0,,1,6,0,306
P0000476,variant,0,0,0.0,,0,0,0,0
P0000477,control,0,0,0.0,,0,0,0,1
P0000478,variant,5,0,0.0,,1,30,0,1283
P0000479,variant,0,0,0.0,,0,0,0,0
P0000480,variant,0,0,0.0,,0,2,0,0
P0000481,variant,0,0,0.0,,0,0,0,2
P0000482,variant,1,0,0.0,,0,4,0,232
P0000483,variant,3,0,0.0,,1,17,0,697
P0000484,variant,0,0,0.0,,0,1,0,0
P0000485,control,0,0,0.0,,0,0,0,0
P0000486,variant,4,0,0.0,,0,29,0,1009
P0000487,variant,1,0,0.0,,0,12,0,226
P0000488,variant,1,0,0.0,,0,9,0,264
P0000489,control,0,0,0.0,,0,0,0,0
P0000490,control,0,0,0.0,,0,0,0,0
P0000491,control,1,0,0.0,,0,5,0,237
P0000492,control,0,0,0.0,,0,0,0,1
P0000493,variant,0,0,0.0,,0,5,0,2
P0000494,control,0,0,0.0,,0,0,0,0
P0000495,variant,11,0,0.0,,6,67,0,2679
P0000496,variant,0,0,0.0,,0,0,0,0
P0000497,variant,9,0,0.0,2026-06-15,6,42,0,2161
P0000498,variant,0,0,0.0,,0,1,0,0
P0000499,variant,0,0,0.0,,0,0,0,1
P0000500,variant,0,0,0.0,,0,1,0,1
P0000501,control,0,0,0.0,,0,2,0,3
P0000502,control,0,0,0.0,,0,0,0,0
P0000503,variant,5,0,0.0,,3,45,0,1232
P0000504,control,7,0,0.0,,1,32,0,1695
P0000505,control,1,0,0.0,,0,4,0,291
P0000506,variant,0,0,0.0,,0,0,0,1
P0000507,variant,0,0,0.0,,0,0,0,0
P0000508,variant,0,0,0.0,,0,0,0,2
P0000509,control,0,0,0.0,,0,1,0,0
P0000510,variant,0,0,0.0,,0,1,0,1
P0000511,control,873,15,0.0172,2026-05-10,363,3136,84,225309
P0000512,variant,1,0,0.0,,0,5,0,233
P0000513,control,0,0,0.0,,0,1,0,3
P0000514,variant,2,0,0.0,,1,13,0,483
P0000515,variant,4,0,0.0,2026-06-23,2,33,0,1038
P0000516,variant,0,0,0.0,,0,0,0,0
P0000517,variant,0,0,0.0,,0,0,0,1
P0000518,control,0,0,0.0,,0,0,0,1
P0000519,variant,0,0,0.0,,0,1,0,1
P0000520,control,0,0,0.0,,0,0,0,0
P0000521,control,0,0,0.0,,0,0,0,0
P0000522,control,1,0,0.0,,0,1,0,219
P0000523,variant,2,0,0.0,,1,7,0,585
P0000524,control,3,0,0.0,,1,16,0,684
P0000525,control,1,0,0.0,,1,2,0,217
P0000526,variant,2,0,0.0,,1,15,0,596
P0000527,control,1,0,0.0,,1,7,0,292
P0000528,control,0,0,0.0,,0,0,0,0
P0000529,variant,2,0,0.0,,0,5,0,570
P0000530,control,3,0,0.0,,1,13,0,819
P0000531,control,0,0,0.0,,0,0,0,2
P0000532,variant,0,0,0.0,,0,1,0,0
P0000533,control,0,0,0.0,,0,0,0,3
P0000534,control,0,0,0.0,,0,0,0,0
P0000535,variant,0,0,0.0,,0,0,0,0
P0000536,control,5,0,0.0,,3,31,0,1273
P0000537,control,0,0,0.0,,0,0,0,0
P0000538,control,1,0,0.0,,0,12,0,235
P0000539,control,1,0,0.0,,0,2,0,223
P0000540,control,1,0,0.0,,1,0,0,264
P0000541,control,0,0,0.0,,0,0,0,0
P0000542,variant,1,0,0.0,,0,5,0,204
P0000543,variant,1,0,0.0,,0,4,0,282
P0000544,control,0,0,0.0,,0,0,0,0
P0000545,control,1,0,0.0,,0,6,0,286
P0000546,control,0,0,0.0,,0,0,0,1
P0000547,control,0,0,0.0,,0,0,0,0
P0000548,variant,0,0,0.0,,0,5,0,0
P0000549,control,0,0,0.0,,0,0,0,0
P0000550,variant,1,0,0.0,2026-07-05,1,5,0,302
P0000551,control,0,0,0.0,,0,0,0,1
P0000552,control,0,0,0.0,,0,0,0,1
P0000553,variant,0,0,0.0,,0,0,0,0
