player_id,true_segment
P0000143,Grinder-F2W
P0000144,Churned-early
P0000145,Casual
P0000146,Casual
P0000147,Casual
P0000148,Churned-early
P0000149,Churned-early
P0000150,Churned-early
P0000151,Casual
P0000152,Casual
P0000153,Casual
P0000154,Casual
P0000155,Casual
P0000156,Grinder-F2W
P0000157,Churned-early
P0000158,Casual
P0000159,Casual
P0000160,Casual
P0000161,Casual
P0000162,Churned-early
P0000163,Churned-early
P0000164,Casual
P0000165,Casual
P0000166,Grinder-F2W
P0000167,Churned-early
P0000168,Churned-early
P0000169,Churned-early
P0000170,Casual
P0000171,Casual
P0000172,Casual
P0000173,Churned-early
P0000174,Spender
P0000175,Grinder-F2W
P0000176,Casual
P0000177,Casual
P0000178,Casual
P0000179,Casual
P0000180,Casual
P0000181,Casual
P0000182,Churned-early
P0000183,Casual
P0000184,Casual
P0000185,Grinder-F2W
P0000186,Casual
P0000187,Casual
P0000188,Churned-early
P0000189,Casual
P0000190,Churned-early
P0000191,Churned-early
P0000192,Casual
P0000193,Churned-early
P0000194,Grinder-F2W
P0000195,Casual
P0000196,Churned-early
P0000197,Churned-early
P0000198,Casual
P0000199,Casual
P0000200,Churned-early
P0000201,Churned-early
P0000202,Casual
P0000203,Churned-early
P0000204,Casual
P0000205,Casual
P0000206,Casual
P0000207,Churned-early
P0000208,Casual
P0000209,Grinder-F2W
P0000210,Casual
P0000211,Churned-early
P0000212,Casual
P0000213,Casual
P0000214,Churned-early
P0000215,Casual
P0000216,Churned-early
P0000217,Casual
P0000218,Grinder-F2W
P0000219,Churned-early
P0000220,Casual
P0000221,Casual
P0000222,Casual
P0000223,Casual
P0000224,Churned-early
P0000225,Casual
P0000226,Churned-early
P0000227,Churned-early
P0000228,Churned-early
P0000229,Grinder-F2W
P0000230,Casual
P0000231,Churned-early
P0000232,Casual
P0000233,Casual
P0000234,Casual
P0000235,Casual
P0000236,Churned-early
P0000237,Grinder-F2W
P0000238,Grinder-F2W
P0000239,Grinder-F2W
P0000240,Grinder-F2W
P0000241,Churned-early
P0000242,Churned-early
P0000243,Churned-early
P0000244,Grinder-F2W
P0000245,Churned-early
P0000246,Churned-early
P0000247,Churned-early
P0000248,Casual
P0000249,Churned-early
P0000250,Casual
P0000251,Casual
P0000252,Churned-early
P0000253,Churned-early
P0000254,Casual
P0000255,Churned-early
P0000256,Casual
P0000257,Casual
P0000258,Casual
P0000259,Casual
P0000260,Churned-early
P0000261,Casual
P0000262,Grinder-F2W
P0000263,Churned-early
P0000264,Casual
P0000265,Casual
P0000266,Casual
P0000267,Churned-early
P0000268,Churned-early
P0000269,Casual
P0000270,Churned-early
P0000271,Casual
P0000272,Casual
P0000273,Grinder-F2W
P0000274,Casual
P0000275,Grinder-F2W
P0000276,Whale
P0000277,Churned-early
P0000278,Casual
P0000279,Grinder-F2W
P0000280,Churned-early
P0000281,Churned-early
P0000282,Grinder-F2W
P0000283,Casual
P0000284,Grinder-F2W
P0000285,Casual
P0000286,Grinder-F2W
P0000287,Casual
P0000288,Casual
P0000289,Casual
P0000290,Grinder-F2W
P0000291,Casual
P0000292,Churned-early
P0000293,Grinder-F2W
P0000294,Churned-early
P0000295,Grinder-F2W
P0000296,Churned-early
P0000297,Churned-early
P0000298,Churned-early
P0000299,Casual
P0000300,Churned-early
P0000301,Churned-early
P0000302,Whale
P0000303,Casual
P0000304,Churned-early
P0000305,Casual
P0000306,Casual
P0000307,Churned-early
P0000308,Churned-early
P0000309,Churned-early
P0000310,Churned-early
P0000311,Grinder-F2W
P0000312,Casual
P0000313,Grinder-F2W
P0000314,Casual
P0000315,Churned-early
P0000316,Casual
P0000317,Churned-early
P0000318,Casual
P0000319,Casual
P0000320,Grinder-F2W
P0000321,Casual
P0000322,Churned-early
P0000323,Casual
P0000324,Casual
P0000325,Grinder-F2W
P0000326,Casual
P0000327,Churned-early
P0000328,Churned-early
P0000329,Grinder-F2W
P0000330,Churned-early
P0000331,Casual
P0000332,Casual
P0000333,Grinder-F2W
P0000334,Casual
P0000335,Spender
P0000336,Churned-early
P0000337,Casual
P0000338,Grinder-F2W
P0000339,Churned-early
P0000340,Spender
P0000341,Grinder-F2W
P0000342,Grinder-F2W
P0000343,Churned-early
P0000344,Churned-early
P0000345,Casual
P0000346,Grinder-F2W
P0000347,Churned-early
P0000348,Grinder-F2W
P0000349,Casual
P0000350,Casual
P0000351,Churned-early
P0000352,Grinder-F2W
P0000353,Casual
P0000354,Casual
P0000355,Churned-early
P0000356,Casual
P0000357,Casual
P0000358,Casual
P0000359,Casual
P0000360,Churned-early
P0000361,Casual
P0000362,Churned-early
P0000363,Churned-early
P0000364,Casual
P0000365,Churned-early
P0000366,Casual
P0000367,Churned-early
P0000368,Casual
P0000369,Casual
P0000370,Grinder-F2W
P0000371,Churned-early
P0000372,Casual
P0000373,Casual
P0000374,Grinder-F2W
P0000375,Spender
P0000376,Churned-early
P0000377,Casual
P0000378,Casual
P0000379,Churned-early
P0000380,Casual
P0000381,Casual
P0000382,Churned-early
P0000383,Spender
P0000384,Churned-early
P0000385,Casual
P0000386,Casual
P0000387,Churned-early
P0000388,Churned-early
P0000389,Casual
P0000390,Churned-early
P0000391,Casual
P0000392,Grinder-F2W
P0000393,Casual
P0000394,Churned-early
P0000395,Grinder-F2W
P0000396,Casual
P0000397,Casual
P0000398,Casual
P0000399,Grinder-F2W
P0000400,Grinder-F2W
P0000401,Churned-early
P0000402,Casual
P0000403,Casual
P0000404,Churned-early
P0000405,Casual
P0000406,Churned-early
P0000407,Casual
P0000408,Churned-early
P0000409,Casual
P0000410,Grinder-F2W
P0000411,Casual
P0000412,Spender
P0000413,Churned-early
P0000414,Grinder-F2W
P0000415,Churned-early
P0000416,Churned-early
P0000417,Spender
P0000418,Grinder-F2W
P0000419,Casual
P0000420,Churned-early
P0000421,Casual
P0000422,Churned-early
P0000423,Spender
P0000424,Casual
P0000425,Casual
P0000426,Casual
P0000427,Churned-early
P0000428,Casual
P0000429,Casual
P0000430,Casual
P0000431,Churned-early
P0000432,Casual
P0000433,Casual
P0000434,Churned-early
P0000435,Casual
P0000436,Casual
P0000437,Casual
P0000438,Churned-early
P0000439,Casual
P0000440,Casual
P0000441,Grinder-F2W
P0000442,Casual
P0000443,Grinder-F2W
P0000444,Grinder-F2W
P0000445,Churned-early
P0000446,Churned-early
P0000447,Churned-early
P0000448,Churned-early
P0000449,Casual
P0000450,Churned-early
P0000451,Spender
P0000452,Churned-early
P0000453,Grinder-F2W
P0000454,Casual
P0000455,Casual
P0000456,Casual
P0000457,Casual
P0000458,Churned-early
P0000459,Casual
P0000460,Churned-early
P0000461,Churned-early
P0000462,Grinder-F2W
P0000463,Casual
P0000464,Churned-early
P0000465,Churned-early
P0000466,Casual
P0000467,Casual
P0000468,Churned-early
P0000469,Casual
P0000470,Churned-early
P0000471,Casual
P0000472,Casual
P0000473,Churned-early
P0000474,Grinder-F2W
P0000475,Casual
P0000476,Churned-early
P0000477,Casual
P0000478,Grinder-F2W
P0000479,Churned-early
P0000480,Churned-early
P0000481,Churned-early
P0000482,Casual
P0000483,Grinder-F2W
P0000484,Churned-early
P0000485,Casual
P0000486,Grinder-F2W
P0000487,Casual
P0000488,Casual
P0000489,Churned-early
P0000490,Casual
P0000491,Casual
P0000492,Churned-early
P0000493,Casual
P0000494,Churned-early
P0000495,Grinder-F2W
P0000496,Churned-early
P0000497,Grinder-F2W
P0000498,Churned-early
P0000499,Churned-early
P0000500,Casual
P0000501,Casual
P0000502,Churned-early
P0000503,Grinder-F2W
P0000504,Grinder-F2W
P0000505,Casual
P0000506,Casual
P0000507,Churned-early
P0000508,Casual
P0000509,Casual
P0000510,Casual
P0000511,Whale
P0000512,Casual
P0000513,Casual
P0000514,Casual
P0000515,Grinder-F2W
P0000516,Churned-early
P0000517,Casual
P0000518,Churned-early
P0000519,Casual
P0000520,Churned-early
P0000521,Churned-early
P0000522,Casual
P0000523,Casual
P0000524,Casual
P0000525,Casual
P0000526,Grinder-F2W
P0000527,Casual
P0000528,Churned-early
P0000529,Grinder-F2W
P0000530,Casual
P0000531,Casual
P0000532,Churned-early
P0000533,Churned-early
P0000534,Churned-early
P0000535,Churned-early
P0000536,Grinder-F2W
P0000537,Churned-early
P0000538,Grinder-F2W
P0000539,Casual
P0000540,Casual
P0000541,Casual
P0000542,Casual
P0000543,Casual
P0000544,Churned-early
P0000545,Casual
P0000546,Churned-early
P0000547,Churned-early
P0000548,Casual
P0000549,Churned-early
P0000550,Casual
P0000551,Churned-early
P0000552,Churned-early
P0000553,Churned-early
P0000554,Casual
P0000555,Churned-early
P0000556,Grinder-F2W
P0000557,Churned-early
P0000558,Churned-early
P0000559,Casual
P0000560,Churned-early
P0000561,Spender
P0000562,Casual
P0000563,Casual
P0000564,Spender
P0000565,Casual
P0000566,Casual
P0000567,Casual
P0000568,Casual
P0000569,Grinder-F2W
P0000570,Spender
P0000571,Casual
P0000572,Casual
P0000573,Casual
P0000574,Churned-early
P0000575,Churned-early
P0000576,Churned-early
P0000577,Churned-early
P0000578,Grinder-F2W
P0000579,Grinder-F2W
P0000580,Spender
P0000581,Churned-early
P0000582,Churned-early
P0000583,Churned-early
P0000584,Casual
P0000585,Casual
P0000586,Casual
P0000587,Churned-early
P0000588,Casual
P0000589,Grinder-F2W
P0000590,Grinder-F2W
P0000591,Casual
P0000592,Casual
P0000593,Churned-early
P0000594,Churned-early
P0000595,Casual
P0000596,Casual
P0000597,Spender
P0000598,Casual
P0000599,Grinder-F2W
P0000600,Churned-early
P0000601,Casual
P0000602,Casual
P0000603,Casual
P0000604,Casual
P0000605,Churned-early
P0000606,Churned-early
P0000607,Casual
P0000608,Churned-early
P0000609,Churned-early
P0000610,Casual
P0000611,Churned-early
P0000612,Casual
P0000613,Spender
P0000614,Churned-early
P0000615,Churned-early
P0000616,Casual
P0000617,Churned-early
P0000618,Casual
P0000619,Grinder-F2W
P0000620,Casual
P0000621,Churned-early
P0000622,Churned-early
P0000623,Grinder-F2W
P0000624,Churned-early
P0000625,Churned-early
P0000626,Casual
P0000627,Casual
P0000628,Casual
P0000629,Churned-early
P0000630,Grinder-F2W
P0000631,Casual
P0000632,Churned-early
P0000633,Churned-early
P0000634,Churned-early
P0000635,Grinder-F2W
P0000636,Grinder-F2W
P0000637,Casual
P0000638,Casual
P0000639,Casual
P0000640,Casual
P0000641,Churned-early
P0000642,Casual
P0000643,Churned-early
P0000644,Casual
P0000645,Casual
P0000646,Churned-early
P0000647,Casual
P0000648,Churned-early
P0000649,Grinder-F2W
P0000650,Casual
P0000651,Churned-early
P0000652,Churned-early
P0000653,Churned-early
P0000654,Grinder-F2W
P0000655,Churned-early
P0000656,Grinder-F2W
P0000657,Casual
P0000658,Casual
P0000659,Grinder-F2W
P0000660,Casual
P0000661,Churned-early
P0000662,Casual
P0000663,Spender
P0000664,Grinder-F2W
P0000665,Churned-early
P0000666,Casual
P0000667,Spender
P0000668,Churned-early
P0000669,Grinder-F2W
P0000670,Casual
P0000671,Casual
P0000672,Grinder-F2W
P0000673,Grinder-F2W
P0000674,Casual
P0000675,Churned-early
P0000676,Churned-early
P0000677,Casual
P0000678,Casual
P0000679,Grinder-F2W
P0000680,Casual
P0000681,Casual
P0000682,Grinder-F2W
P0000683,Churned-early
P0000684,Casual
P0000685,Churned-early
P0000686,Churned-early
P0000687,Casual
P0000688,Grinder-F2W
P0000689,Churned-early
P0000690,Casual
P0000691,Grinder-F2W
P0000692,Churned-early
P0000693,Casual
P0000694,Churned-early
P0000695,Churned-early
P0000696,Casual
P0000697,Grinder-F2W
P0000698,Churned-early
P0000699,Churned-early
P0000700,Casual
P0000701,Churned-early
P0000702,Casual
P0000703,Casual
P0000704,Churned-early
P0000705,Churned-early
P0000706,Casual
P0000707,Casual
P0000708,Casual
P0000709,Churned-early
P0000710,Churned-early
P0000711,Casual
P0000712,Casual
P0000713,Grinder-F2W
P0000714,Casual
P0000715,Casual
P0000716,Grinder-F2W
P0000717,Grinder-F2W
P0000718,Grinder-F2W
P0000719,Casual
P0000720,Grinder-F2W
P0000721,Casual
P0000722,Churned-early
P0000723,Casual
P0000724,Churned-early
P0000725,Churned-early
P0000726,Churned-early
P0000727,Churned-early
P0000728,Churned-early
P0000729,Casual
P0000730,Churned-early
P0000731,Casual
P0000732,Grinder-F2W
P0000733,Casual
P0000734,Grinder-F2W
P0000735,Churned-early
P0000736,Casual
P0000737,Churned-early
P0000738,Casual
P0000739,Churned-early
P0000740,Casual
P0000741,Casual
P0000742,Churned-early
P0000743,Casual
P0000744,Casual
P0000745,Casual
P0000746,Casual
P0000747,Churned-early
P0000748,Casual
P0000749,Casual
P0000750,Churned-early
P0000751,Whale
P0000752,Casual
P0000753,Churned-early
P0000754,Casual
P0000755,Casual
P0000756,Casual
P0000757,Casual
P0000758,Casual
P0000759,Casual
P0000760,Churned-early
P0000761,Casual
P0000762,Casual
P0000763,Churned-early
P0000764,Casual
P0000765,Churned-early
P0000766,Grinder-F2W
P0000767,Casual
P0000768,Churned-early
P0000769,Casual
P0000770,Casual
P0000771,Casual
P0000772,Churned-early
P0000773,Churned-early
P0000774,Casual
P0000775,Casual
P0000776,Casual
P0000777,Casual
P0000778,Grinder-F2W
P0000779,Grinder-F2W
P0000780,Casual
P0000781,Grinder-F2W
P0000782,Casual
P0000783,Casual
P0000784,Spender
P0000785,Casual
P0000786,Churned-early
P0000787,Spender
P0000788,Churned-early
P0000789,Churned-early
P0000790,Grinder-F2W
P0000791,Casual
P0000792,Casual
P0000793,Churned-early
P0000794,Grinder-F2W
P0000795,Casual
P0000796,Churned-early
P0000797,Churned-early
P0000798,Casual
P0000799,Casual
P0000800,Grinder-F2W
P0000801,Churned-early
P0000802,Churned-early
P0000803,Casual
P0000804,Churned-early
P0000805,Casual
P0000806,Grinder-F2W
P0000807,Churned-early
P0000808,Grinder-F2W
P0000809,Casual
P0000810,Casual
P0000811,Grinder-F2W
P0000812,Grinder-F2W
P0000813,Casual
P0000814,Churned-early
P0000815,Casual
P0000816,Casual
P0000817,Casual
P0000818,Casual
P0000819,Casual
P0000820,Casual
P0000821,Casual
P0000822,Casual
P0000823,Churned-early
P0000824,Grinder-F2W
P0000825,Casual
P0000826,Grinder-F2W
P0000827,Casual
P0000828,Churned-early
P0000829,Grinder-F2W
P0000830,Churned-early
P0000831,Casual
P0000832,Casual
P0000833,Casual
P0000834,Grinder-F2W
P0000835,Churned-early
P0000836,Casual
P0000837,Churned-early
P0000838,Grinder-F2W
P0000839,Casual
P0000840,Churned-early
P0000841,Casual
P0000842,Spender
P0000843,Casual
P0000844,Casual
P0000845,Casual
P0000846,Churned-early
P0000847,Churned-early
P0000848,Casual
P0000849,Churned-early
P0000850,Casual
P0000851,Churned-early
P0000852,Casual
P0000853,Churned-early
P0000854,Casual
P0000855,Casual
P0000856,Churned-early
P0000857,Grinder-F2W
P0000858,Churned-early
P0000859,Grinder-F2W
P0000860,Grinder-F2W
P0000861,Spender
P0000862,Churned-early
P0000863,Churned-early
P0000864,Casual
P0000865,Churned-early
P0000866,Grinder-F2W
P0000867,Grinder-F2W
P0000868,Grinder-F2W
P0000869,Casual
P0000870,Churned-early
P0000871,Churned-early
P0000872,Grinder-F2W
P0000873,Casual
P0000874,Grinder-F2W
P0000875,Churned-early
P0000876,Casual
P0000877,Churned-early
P0000878,Churned-early
P0000879,Churned-early
P0000880,Churned-early
P0000881,Casual
P0000882,Grinder-F2W
P0000883,Churned-early
P0000884,Churned-early
P0000885,Casual
P0000886,Casual
P0000887,Casual
P0000888,Churned-early
P0000889,Churned-early
P0000890,Churned-early
P0000891,Grinder-F2W
P0000892,Grinder-F2W
P0000893,Casual
P0000894,Churned-early
P0000895,Casual
P0000896,Casual
P0000897,Churned-early
P0000898,Casual
P0000899,Casual
P0000900,Casual
P0000901,Churned-early
P0000902,Casual
P0000903,Churned-early
P0000904,Spender
P0000905,Casual
P0000906,Casual
P0000907,Casual
P0000908,Casual
P0000909,Churned-early
P0000910,Grinder-F2W
P0000911,Casual
P0000912,Grinder-F2W
P0000913,Churned-early
P0000914,Churned-early
P0000915,Casual
P0000916,Casual
P0000917,Churned-early
P0000918,Casual
P0000919,Casual
P0000920,Grinder-F2W
P0000921,Casual
P0000922,Casual
P0000923,Churned-early
P0000924,Casual
P0000925,Grinder-F2W
P0000926,Churned-early
P0000927,Grinder-F2W
P0000928,Grinder-F2W
P0000929,Churned-early
P0000930,Casual
P0000931,Spender
P0000932,Casual
P0000933,Grinder-F2W
P0000934,Churned-early
P0000935,Churned-early
P0000936,Casual
P0000937,Casual
P0000938,Churned-early
P0000939,Casual
P0000940,Churned-early
P0000941,Grinder-F2W
P0000942,Churned-early
P0000943,Grinder-F2W
P0000944,Casual
P0000945,Casual
P0000946,Churned-early
P0000947,Casual
P0000948,Casual
P0000949,Churned-early
P0000950,Casual
P0000951,Churned-early
P0000952,Casual
P0000953,Grinder-F2W
P0000954,Casual
P0000955,Churned-early
P0000956,Churned-early
P0000957,Churned-early
P0000958,Casual
P0000959,Casual
P0000960,Casual
P0000961,Casual
P0000962,Churned-early
P0000963,Casual
P0000964,Churned-early
P0000965,Churned-early
P0000966,Grinder-F2W
P0000967,Churned-early
P0000968,Churned-early
P0000969,Casual
P0000970,Churned-early
P0000971,Churned-early
P0000972,Casual
P0000973,Churned-early
P0000974,Churned-early
P0000975,Casual
P0000976,Grinder-F2W
P0000977,Spender
P0000978,Churned-early
P0000979,Casual
P0000980,Casual
P0000981,Casual
P0000982,Casual
P0000983,Churned-early
P0000984,Casual
P0000985,Casual
P0000986,Grinder-F2W
P0000987,Churned-early
P0000988,Churned-early
P0000989,Churned-early
P0000990,Churned-early
P0000991,Casual
P0000992,Churned-early
P0000993,Casual
P0000994,Churned-early
P0000995,Grinder-F2W
P0000996,Grinder-F2W
P0000997,Churned-early
P0000998,Spender
P0000999,Churned-early
P0001000,Casual
P0001001,Grinder-F2W
P0001002,Churned-early
P0001003,Casual
P0001004,Churned-early
P0001005,Churned-early
P0001006,Grinder-F2W
P0001007,Churned-early
P0001008,Churned-early
P0001009,Churned-early
P0001010,Churned-early
P0001011,Casual
P0001012,Churned-early
P0001013,Casual
P0001014,Churned-early
P0001015,Churned-early
P0001016,Churned-early
P0001017,Spender
P0001018,Casual
P0001019,Casual
P0001020,Churned-early
P0001021,Casual
P0001022,Churned-early
P0001023,Churned-early
P0001024,Casual
P0001025,Casual
P0001026,Grinder-F2W
P0001027,Casual
P0001028,Spender
P0001029,Churned-early
P0001030,Churned-early
P0001031,Grinder-F2W
P0001032,Casual
P0001033,Casual
P0001034,Casual
P0001035,Casual
P0001036,Grinder-F2W
P0001037,Churned-early
P0001038,Casual
P0001039,Churned-early
P0001040,Casual
P0001041,Churned-early
P0001042,Spender
P0001043,Churned-early
P0001044,Casual
P0001045,Churned-early
P0001046,Churned-early
P0001047,Churned-early
P0001048,Churned-early
P0001049,Grinder-F2W
P0001050,Grinder-F2W
P0001051,Churned-early
P0001052,Churned-early
P0001053,Casual
P0001054,Casual
P0001055,Casual
P0001056,Churned-early
P0001057,Churned-early
P0001058,Grinder-F2W
P0001059,Churned-early
P0001060,Casual
P0001061,Casual
P0001062,Churned-early
P0001063,Casual
P0001064,Casual
P0001065,Churned-early
P0001066,Churned-early
P0001067,Churned-early
P0001068,Casual
P0001069,Grinder-F2W
P0001070,Grinder-F2W
P0001071,Churned-early
P0001072,Spender
P0001073,Casual
P0001074,Casual
P0001075,Whale
P0001076,Grinder-F2W
P0001077,Spender
P0001078,Casual
P0001079,Grinder-F2W
P0001080,Churned-early
P0001081,Grinder-F2W
P0001082,Casual
P0001083,Casual
P0001084,Churned-early
P0001085,Casual
P0001086,Casual
P0001087,Churned-early
P0001088,Grinder-F2W
P0001089,Churned-early
P0001090,Casual
P0001091,Casual
P0001092,Casual
P0001093,Churned-early
P0001094,Casual
P0001095,Casual
P0001096,Grinder-F2W
P0001097,Casual
P0001098,Churned-early
P0001099,Casual
P0001100,Casual
P0001101,Casual
P0001102,Casual
P0001103,Churned-early
P0001104,Churned-early
P0001105,Casual
P0001106,Casual
P0001107,Casual
P0001108,Casual
P0001109,Spender
P0001110,Churned-early
P0001111,Churned-early
P0001112,Casual
P0001113,Casual
P0001114,Casual
P0001115,Casual
P0001116,Churned-early
P0001117,Churned-early
P0001118,Grinder-F2W
P0001119,Casual
P0001120,Casual
P0001121,Casual
P0001122,Churned-early
P0001123,Churned-early
P0001124,Casual
P0001125,Casual
P0001126,Churned-early
P0001127,Churned-early
P0001128,Casual
P0001129,Churned-early
P0001130,Churned-early
P0001131,Churned-early
P0001132,Churned-early
P0001133,Churned-early
P0001134,Churned-early
P0001135,Casual
P0001136,Churned-early
P0001137,Casual
P0001138,Churned-early
P0001139,Spender
P0001140,Casual
P0001141,Churned-early
P0001142,Grinder-F2W
P0001143,Churned-early
P0001144,Whale
P0001145,Churned-early
P0001146,Grinder-F2W
P0001147,Churned-early
P0001148,Grinder-F2W
P0001149,Casual
P0001150,Casual
P0001151,Casual
P0001152,Churned-early
P0001153,Grinder-F2W
P0001154,Spender
P0001155,Churned-early
P0001156,Grinder-F2W
P0001157,Casual
P0001158,Casual
P0001159,Casual
P0001160,Grinder-F2W
P0001161,Churned-early
P0001162,Grinder-F2W
P0001163,Casual
P0001164,Grinder-F2W
P0001165,Churned-early
P0001166,Churned-early
P0001167,Casual
P0001168,Casual
P0001169,Casual
P0001170,Grinder-F2W
P0001171,Churned-early
P0001172,Grinder-F2W
P0001173,Casual
P0001174,Churned-early
P0001175,Grinder-F2W
P0001176,Casual
P0001177,Churned-early
P0001178,Casual
P0001179,Casual
P0001180,Churned-early
P0001181,Casual
P0001182,Casual
P0001183,Casual
P0001184,Casual
P0001185,Casual
P0001186,Grinder-F2W
P0001187,Churned-early
P0001188,Spender
P0001189,Casual
P0001190,Churned-early
P0001191,Casual
P0001192,Churned-early
P0001193,Casual
P0001194,Churned-early
P0001195,Churned-early
P0001196,Churned-early
P0001197,Casual
P0001198,Casual
P0001199,Casual
P0001200,Casual
P0001201,Churned-early
P0001202,Churned-early
P0001203,Casual
P0001204,Churned-early
P0001205,Casual
P0001206,Casual
P0001207,Churned-early
P0001208,Casual
P0001209,Grinder-F2W
P0001210,Casual
P0001211,Casual
P0001212,Churned-early
P0001213,Churned-early
P0001214,Casual
P0001215,Casual
P0001216,Churned-early
P0001217,Churned-early
P0001218,Churned-early
P0001219,Churned-early
P0001220,Casual
P0001221,Grinder-F2W
P0001222,Casual
P0001223,Casual
P0001224,Casual
P0001225,Grinder-F2W
P0001226,Grinder-F2W
P0001227,Churned-early
P0001228,Grinder-F2W
P0001229,Spender
P0001230,Grinder-F2W
P0001231,Grinder-F2W
P0001232,Grinder-F2W
P0001233,Grinder-F2W
P0001234,Grinder-F2W
P0001235,Casual
P0001236,Grinder-F2W
P0001237,Casual
P0001238,Casual
P0001239,Casual
P0001240,Casual
P0001241,Churned-early
P0001242,Casual
P0001243,Grinder-F2W
P0001244,Churned-early
P0001245,Casual
P0001246,Casual
P0001247,Grinder-F2W
P0001248,Churned-early
P0001249,Casual
P0001250,Casual
P0001251,Casual
P0001252,Casual
P0001253,Churned-early
P0001254,Grinder-F2W
P0001255,Casual
P0001256,Churned-early
P0001257,Casual
P0001258,Churned-early
P0001259,Grinder-F2W
P0001260,Churned-early
P0001261,Casual
P0001262,Grinder-F2W
P0001263,Churned-early
P0001264,Spender
P0001265,Churned-early
P0001266,Churned-early
P0001267,Churned-early
P0001268,Grinder-F2W
P0001269,Grinder-F2W
P0001270,Churned-early
P0001271,Churned-early
P0001272,Churned-early
P0001273,Grinder-F2W
P0001274,Grinder-F2W
P0001275,Churned-early
P0001276,Churned-early
P0001277,Churned-early
P0001278,Grinder-F2W
P0001279,Churned-early
P0001280,Churned-early
P0001281,Grinder-F2W
P0001282,Casual
P0001283,Casual
P0001284,Grinder-F2W
P0001285,Churned-early
P0001286,Churned-early
P0001287,Casual
P0001288,Casual
P0001289,Churned-early
P0001290,Grinder-F2W
P0001291,Spender
P0001292,Churned-early
P0001293,Casual
P0001294,Churned-early
P0001295,Casual
P0001296,Casual
P0001297,Churned-early
P0001298,Grinder-F2W
P0001299,Churned-early
P0001300,Churned-early
P0001301,Churned-early
P0001302,Churned-early
P0001303,Spender
P0001304,Grinder-F2W
P0001305,Grinder-F2W
P0001306,Grinder-F2W
P0001307,Grinder-F2W
P0001308,Churned-early
P0001309,Casual
P0001310,Grinder-F2W
P0001311,Churned-early
P0001312,Casual
P0001313,Churned-early
P0001314,Casual
P0001315,Churned-early
P0001316,Casual
P0001317,Churned-early
P0001318,Churned-early
P0001319,Churned-early
P0001320,Casual
P0001321,Spender
P0001322,Casual
P0001323,Churned-early
P0001324,Casual
P0001325,Casual
P0001326,Casual
P0001327,Casual
