player_id,true_segment,cluster_k5
P0000458,Churned-early,0
P0000459,Casual,0
P0000460,Churned-early,3
P0000461,Churned-early,0
P0000462,Grinder-F2W,3
P0000463,Casual,0
P0000464,Churned-early,3
P0000465,Churned-early,0
P0000466,Casual,0
P0000467,Casual,0
P0000468,Churned-early,3
P0000469,Casual,3
P0000470,Churned-early,0
P0000471,Casual,3
P0000472,Casual,0
P0000473,Churned-early,0
P0000474,Grinder-F2W,0
P0000475,Casual,3
P0000476,Churned-early,0
P0000477,Casual,3
P0000478,Grinder-F2W,0
P0000479,Churned-early,0
P0000480,Churned-early,3
P0000481,Churned-early,3
P0000482,Casual,3
P0000483,Grinder-F2W,0
P0000484,Churned-early,0
P0000485,Casual,0
P0000486,Grinder-F2W,2
P0000487,Casual,0
P0000488,Casual,0
P0000489,Churned-early,3
P0000490,Casual,3
P0000491,Casual,3
P0000492,Churned-early,3
P0000493,Casual,0
P0000494,Churned-early,3
P0000495,Grinder-F2W,2
P0000496,Churned-early,3
P0000497,Grinder-F2W,0
P0000498,Churned-early,0
P0000499,Churned-early,0
P0000500,Casual,0
P0000501,Casual,0
P0000502,Churned-early,3
P0000503,Grinder-F2W,2
P0000504,Grinder-F2W,2
P0000505,Casual,3
P0000506,Casual,0
P0000507,Churned-early,3
P0000508,Casual,3
P0000509,Casual,3
P0000510,Casual,0
P0000511,Whale,4
P0000512,Casual,0
P0000513,Casual,3
P0000514,Casual,0
P0000515,Grinder-F2W,2
P0000516,Churned-early,3
P0000517,Casual,0
P0000518,Churned-early,0
P0000519,Casual,3
P0000520,Churned-early,3
P0000521,Churned-early,0
P0000522,Casual,0
P0000523,Casual,0
P0000524,Casual,0
P0000525,Casual,0
P0000526,Grinder-F2W,0
P0000527,Casual,0
P0000528,Churned-early,3
P0000529,Grinder-F2W,0
P0000530,Casual,0
P0000531,Casual,0
P0000532,Churned-early,3
P0000533,Churned-early,0
P0000534,Churned-early,0
P0000535,Churned-early,0
P0000536,Grinder-F2W,2
P0000537,Churned-early,3
P0000538,Grinder-F2W,0
P0000539,Casual,3
P0000540,Casual,0
P0000541,Casual,0
P0000542,Casual,0
P0000543,Casual,0
P0000544,Churned-early,0
P0000545,Casual,3
P0000546,Churned-early,0
P0000547,Churned-early,0
P0000548,Casual,0
P0000549,Churned-early,3
P0000550,Casual,3
P0000551,Churned-early,0
P0000552,Churned-early,0
P0000553,Churned-early,3
P0000554,Casual,0
P0000555,Churned-early,3
P0000556,Grinder-F2W,2
P0000557,Churned-early,0
P0000558,Churned-early,3
P0000559,Casual,0
P0000560,Churned-early,0
P0000561,Spender,2
P0000562,Casual,0
P0000563,Casual,0
P0000564,Spender,2
P0000565,Casual,3
P0000566,Casual,3
P0000567,Casual,0
P0000568,Casual,0
P0000569,Grinder-F2W,2
P0000570,Spender,2
P0000571,Casual,0
P0000572,Casual,3
P0000573,Casual,0
P0000574,Churned-early,3
P0000575,Churned-early,0
P0000576,Churned-early,3
P0000577,Churned-early,3
P0000578,Grinder-F2W,0
P0000579,Grinder-F2W,2
P0000580,Spender,2
P0000581,Churned-early,3
P0000582,Churned-early,0
P0000583,Churned-early,3
P0000584,Casual,3
P0000585,Casual,0
P0000586,Casual,0
P0000587,Churned-early,3
P0000588,Casual,0
P0000589,Grinder-F2W,2
P0000590,Grinder-F2W,2
P0000591,Casual,0
P0000592,Casual,0
P0000593,Churned-early,3
P0000594,Churned-early,0
P0000595,Casual,3
P0000596,Casual,3
P0000597,Spender,2
P0000598,Casual,0
P0000599,Grinder-F2W,2
P0000600,Churned-early,0
P0000601,Casual,0
P0000602,Casual,3
P0000603,Casual,3
P0000604,Casual,0
P0000605,Churned-early,3
P0000606,Churned-early,0
P0000607,Casual,0
P0000608,Churned-early,3
P0000609,Churned-early,3
P0000610,Casual,0
P0000611,Churned-early,3
P0000612,Casual,3
P0000613,Spender,0
P0000614,Churned-early,3
P0000615,Churned-early,3
P0000616,Casual,3
P0000617,Churned-early,0
P0000618,Casual,0
P0000619,Grinder-F2W,2
P0000620,Casual,0
P0000621,Churned-early,3
P0000622,Churned-early,0
P0000623,Grinder-F2W,0
P0000624,Churned-early,3
P0000625,Churned-early,0
P0000626,Casual,0
P0000627,Casual,0
P0000628,Casual,0
P0000629,Churned-early,3
P0000630,Grinder-F2W,0
P0000631,Casual,0
P0000632,Churned-early,3
P0000633,Churned-early,0
P0000634,Churned-early,3
P0000635,Grinder-F2W,2
P0000636,Grinder-F2W,0
P0000637,Casual,0
P0000638,Casual,0
P0000639,Casual,0
P0000640,Casual,0
P0000641,Churned-early,3
P0000642,Casual,3
P0000643,Churned-early,0
P0000644,Casual,0
P0000645,Casual,0
P0000646,Churned-early,3
P0000647,Casual,0
P0000648,Churned-early,3
P0000649,Grinder-F2W,0
P0000650,Casual,0
P0000651,Churned-early,0
P0000652,Churned-early,0
P0000653,Churned-early,0
P0000654,Grinder-F2W,0
P0000655,Churned-early,3
P0000656,Grinder-F2W,0
P0000657,Casual,0
P0000658,Casual,0
P0000659,Grinder-F2W,0
P0000660,Casual,3
P0000661,Churned-early,3
P0000662,Casual,0
P0000663,Spender,0
P0000664,Grinder-F2W,2
P0000665,Churned-early,3
P0000666,Casual,3
P0000667,Spender,2
P0000668,Churned-early,0
P0000669,Grinder-F2W,0
P0000670,Casual,0
P0000671,Casual,3
P0000672,Grinder-F2W,0
P0000673,Grinder-F2W,2
P0000674,Casual,0
P0000675,Churned-early,0
P0000676,Churned-early,3
P0000677,Casual,0
P0000678,Casual,0
P0000679,Grinder-F2W,2
P0000680,Casual,0
P0000681,Casual,0
P0000682,Grinder-F2W,0
P0000683,Churned-early,3
P0000684,Casual,3
P0000685,Churned-early,3
P0000686,Churned-early,3
P0000687,Casual,0
P0000688,Grinder-F2W,0
P0000689,Churned-early,0
P0000690,Casual,3
P0000691,Grinder-F2W,2
P0000692,Churned-early,3
P0000693,Casual,3
P0000694,Churned-early,0
P0000695,Churned-early,3
P0000696,Casual,0
P0000697,Grinder-F2W,0
P0000698,Churned-early,0
P0000699,Churned-early,3
P0000700,Casual,0
P0000701,Churned-early,3
P0000702,Casual,0
P0000703,Casual,3
P0000704,Churned-early,3
P0000705,Churned-early,0
P0000706,Casual,0
P0000707,Casual,3
P0000708,Casual,3
P0000709,Churned-early,0
P0000710,Churned-early,0
P0000711,Casual,3
P0000712,Casual,0
P0000713,Grinder-F2W,0
P0000714,Casual,3
P0000715,Casual,0
P0000716,Grinder-F2W,2
P0000717,Grinder-F2W,0
P0000718,Grinder-F2W,2
P0000719,Casual,0
P0000720,Grinder-F2W,2
P0000721,Casual,0
P0000722,Churned-early,3
P0000723,Casual,0
P0000724,Churned-early,3
P0000725,Churned-early,3
P0000726,Churned-early,0
P0000727,Churned-early,0
P0000728,Churned-early,3
P0000729,Casual,3
P0000730,Churned-early,3
P0000731,Casual,3
P0000732,Grinder-F2W,2
P0000733,Casual,0
P0000734,Grinder-F2W,2
P0000735,Churned-early,3
P0000736,Casual,0
P0000737,Churned-early,3
P0000738,Casual,0
P0000739,Churned-early,0
P0000740,Casual,0
P0000741,Casual,3
P0000742,Churned-early,3
P0000743,Casual,3
P0000744,Casual,3
P0000745,Casual,3
P0000746,Casual,3
P0000747,Churned-early,3
P0000748,Casual,0
P0000749,Casual,0
P0000750,Churned-early,3
P0000751,Whale,1
P0000752,Casual,0
P0000753,Churned-early,3
P0000754,Casual,0
P0000755,Casual,0
P0000756,Casual,0
P0000757,Casual,3
P0000758,Casual,3
P0000759,Casual,0
P0000760,Churned-early,3
P0000761,Casual,3
P0000762,Casual,0
P0000763,Churned-early,3
P0000764,Casual,0
P0000765,Churned-early,0
P0000766,Grinder-F2W,0
P0000767,Casual,3
P0000768,Churned-early,0
P0000769,Casual,0
P0000770,Casual,0
P0000771,Casual,0
P0000772,Churned-early,0
P0000773,Churned-early,3
P0000774,Casual,3
P0000775,Casual,3
P0000776,Casual,0
P0000777,Casual,3
P0000778,Grinder-F2W,2
P0000779,Grinder-F2W,0
P0000780,Casual,0
P0000781,Grinder-F2W,2
P0000782,Casual,3
P0000783,Casual,0
P0000784,Spender,0
P0000785,Casual,0
P0000786,Churned-early,0
P0000787,Spender,2
P0000788,Churned-early,0
P0000789,Churned-early,3
P0000790,Grinder-F2W,0
P0000791,Casual,0
P0000792,Casual,3
P0000793,Churned-early,0
P0000794,Grinder-F2W,2
P0000795,Casual,3
P0000796,Churned-early,0
P0000797,Churned-early,3
P0000798,Casual,0
P0000799,Casual,0
P0000800,Grinder-F2W,0
P0000801,Churned-early,3
P0000802,Churned-early,0
P0000803,Casual,0
P0000804,Churned-early,0
P0000805,Casual,0
P0000806,Grinder-F2W,2
P0000807,Churned-early,3
P0000808,Grinder-F2W,0
P0000809,Casual,3
P0000810,Casual,3
P0000811,Grinder-F2W,2
P0000812,Grinder-F2W,0
P0000813,Casual,0
P0000814,Churned-early,3
P0000815,Casual,0
P0000816,Casual,0
P0000817,Casual,0
P0000818,Casual,0
P0000819,Casual,3
P0000820,Casual,0
P0000821,Casual,0
P0000822,Casual,0
P0000823,Churned-early,3
P0000824,Grinder-F2W,2
P0000825,Casual,3
P0000826,Grinder-F2W,0
P0000827,Casual,0
P0000828,Churned-early,3
P0000829,Grinder-F2W,0
P0000830,Churned-early,0
P0000831,Casual,3
P0000832,Casual,3
P0000833,Casual,0
P0000834,Grinder-F2W,0
P0000835,Churned-early,3
P0000836,Casual,3
P0000837,Churned-early,3
P0000838,Grinder-F2W,0
P0000839,Casual,3
P0000840,Churned-early,3
P0000841,Casual,0
P0000842,Spender,2
P0000843,Casual,3
P0000844,Casual,3
P0000845,Casual,0
P0000846,Churned-early,0
P0000847,Churned-early,3
P0000848,Casual,0
P0000849,Churned-early,3
P0000850,Casual,0
P0000851,Churned-early,3
P0000852,Casual,3
P0000853,Churned-early,0
P0000854,Casual,0
P0000855,Casual,0
P0000856,Churned-early,3
P0000857,Grinder-F2W,0
P0000858,Churned-early,3
P0000859,Grinder-F2W,2
P0000860,Grinder-F2W,0
P0000861,Spender,2
P0000862,Churned-early,3
P0000863,Churned-early,3
P0000864,Casual,3
P0000865,Churned-early,0
P0000866,Grinder-F2W,0
P0000867,Grinder-F2W,2
P0000868,Grinder-F2W,2
P0000869,Casual,3
P0000870,Churned-early,3
P0000871,Churned-early,0
P0000872,Grinder-F2W,0
P0000873,Casual,3
P0000874,Grinder-F2W,0
P0000875,Churned-early,0
P0000876,Casual,0
P0000877,Churned-early,0
P0000878,Churned-early,3
P0000879,Churned-early,3
P0000880,Churned-early,3
P0000881,Casual,0
P0000882,Grinder-F2W,0
P0000883,Churned-early,0
P0000884,Churned-early,3
P0000885,Casual,0
P0000886,Casual,0
P0000887,Casual,0
P0000888,Churned-early,3
P0000889,Churned-early,3
P0000890,Churned-early,0
P0000891,Grinder-F2W,2
P0000892,Grinder-F2W,0
P0000893,Casual,0
P0000894,Churned-early,0
P0000895,Casual,0
P0000896,Casual,0
P0000897,Churned-early,0
P0000898,Casual,0
P0000899,Casual,3
P0000900,Casual,3
P0000901,Churned-early,3
P0000902,Casual,0
P0000903,Churned-early,3
P0000904,Spender,0
P0000905,Casual,3
P0000906,Casual,0
P0000907,Casual,3
P0000908,Casual,0
P0000909,Churned-early,0
P0000910,Grinder-F2W,0
P0000911,Casual,0
P0000912,Grinder-F2W,0
P0000913,Churned-early,3
P0000914,Churned-early,3
P0000915,Casual,3
P0000916,Casual,0
P0000917,Churned-early,0
P0000918,Casual,0
P0000919,Casual,3
P0000920,Grinder-F2W,0
P0000921,Casual,3
P0000922,Casual,0
P0000923,Churned-early,3
P0000924,Casual,3
P0000925,Grinder-F2W,0
P0000926,Churned-early,3
P0000927,Grinder-F2W,2
P0000928,Grinder-F2W,2
P0000929,Churned-early,3
P0000930,Casual,0
P0000931,Spender,0
P0000932,Casual,0
P0000933,Grinder-F2W,2
P0000934,Churned-early,3
P0000935,Churned-early,0
P0000936,Casual,3
P0000937,Casual,3
P0000938,Churned-early,3
P0000939,Casual,0
P0000940,Churned-early,3
P0000941,Grinder-F2W,2
P0000942,Churned-early,3
P0000943,Grinder-F2W,0
P0000944,Casual,3
P0000945,Casual,0
P0000946,Churned-early,3
P0000947,Casual,0
P0000948,Casual,0
P0000949,Churned-early,3
P0000950,Casual,0
P0000951,Churned-early,3
P0000952,Casual,3
P0000953,Grinder-F2W,0
P0000954,Casual,0
P0000955,Churned-early,0
P0000956,Churned-early,3
P0000957,Churned-early,0
P0000958,Casual,0
P0000959,Casual,3
P0000960,Casual,0
P0000961,Casual,0
P0000962,Churned-early,3
P0000963,Casual,0
P0000964,Churned-early,3
P0000965,Churned-early,0
P0000966,Grinder-F2W,2
P0000967,Churned-early,3
P0000968,Churned-early,0
P0000969,Casual,3
P0000970,Churned-early,0
P0000971,Churned-early,3
P0000972,Casual,3
P0000973,Churned-early,0
P0000974,Churned-early,3
P0000975,Casual,0
P0000976,Grinder-F2W,0
P0000977,Spender,2
P0000978,Churned-early,0
P0000979,Casual,3
P0000980,Casual,0
P0000981,Casual,3
P0000982,Casual,3
P0000983,Churned-early,3
P0000984,Casual,3
P0000985,Casual,3
P0000986,Grinder-F2W,2
P0000987,Churned-early,3
P0000988,Churned-early,3
P0000989,Churned-early,0
P0000990,Churned-early,0
P0000991,Casual,0
P0000992,Churned-early,3
P0000993,Casual,3
P0000994,Churned-early,0
P0000995,Grinder-F2W,0
P0000996,Grinder-F2W,2
P0000997,Churned-early,3
P0000998,Spender,2
P0000999,Churned-early,3
P0001000,Casual,0
P0001001,Grinder-F2W,2
P0001002,Churned-early,3
P0001003,Casual,0
P0001004,Churned-early,3
P0001005,Churned-early,3
P0001006,Grinder-F2W,0
P0001007,Churned-early,3
P0001008,Churned-early,3
P0001009,Churned-early,3
P0001010,Churned-early,0
P0001011,Casual,3
P0001012,Churned-early,0
P0001013,Casual,3
P0001014,Churned-early,3
P0001015,Churned-early,0
P0001016,Churned-early,3
P0001017,Spender,2
P0001018,Casual,3
P0001019,Casual,3
P0001020,Churned-early,3
P0001021,Casual,0
P0001022,Churned-early,3
P0001023,Churned-early,3
P0001024,Casual,3
P0001025,Casual,0
P0001026,Grinder-F2W,2
P0001027,Casual,3
P0001028,Spender,2
P0001029,Churned-early,3
P0001030,Churned-early,3
P0001031,Grinder-F2W,2
P0001032,Casual,0
P0001033,Casual,3
P0001034,Casual,0
P0001035,Casual,0
P0001036,Grinder-F2W,2
P0001037,Churned-early,0
P0001038,Casual,0
P0001039,Churned-early,0
P0001040,Casual,0
P0001041,Churned-early,0
P0001042,Spender,2
P0001043,Churned-early,3
P0001044,Casual,0
P0001045,Churned-early,0
P0001046,Churned-early,0
P0001047,Churned-early,3
P0001048,Churned-early,0
P0001049,Grinder-F2W,2
P0001050,Grinder-F2W,2
P0001051,Churned-early,3
P0001052,Churned-early,0
P0001053,Casual,0
P0001054,Casual,3
P0001055,Casual,3
P0001056,Churned-early,0
P0001057,Churned-early,3
P0001058,Grinder-F2W,2
P0001059,Churned-early,3
P0001060,Casual,0
P0001061,Casual,3
P0001062,Churned-early,3
P0001063,Casual,0
P0001064,Casual,0
P0001065,Churned-early,0
P0001066,Churned-early,3
P0001067,Churned-early,3
P0001068,Casual,0
P0001069,Grinder-F2W,2
P0001070,Grinder-F2W,0
P0001071,Churned-early,3
P0001072,Spender,2
P0001073,Casual,0
P0001074,Casual,3
P0001075,Whale,2
P0001076,Grinder-F2W,0
P0001077,Spender,2
P0001078,Casual,0
P0001079,Grinder-F2W,2
P0001080,Churned-early,3
P0001081,Grinder-F2W,0
P0001082,Casual,0
P0001083,Casual,0
P0001084,Churned-early,3
P0001085,Casual,0
P0001086,Casual,0
P0001087,Churned-early,3
P0001088,Grinder-F2W,2
P0001089,Churned-early,0
P0001090,Casual,0
P0001091,Casual,0
P0001092,Casual,0
P0001093,Churned-early,3
P0001094,Casual,0
P0001095,Casual,0
P0001096,Grinder-F2W,2
P0001097,Casual,0
P0001098,Churned-early,0
P0001099,Casual,0
P0001100,Casual,0
P0001101,Casual,3
P0001102,Casual,3
P0001103,Churned-early,3
P0001104,Churned-early,3
P0001105,Casual,3
P0001106,Casual,0
P0001107,Casual,0
P0001108,Casual,3
P0001109,Spender,2
P0001110,Churned-early,3
P0001111,Churned-early,3
P0001112,Casual,0
P0001113,Casual,3
P0001114,Casual,0
P0001115,Casual,3
P0001116,Churned-early,0
P0001117,Churned-early,0
P0001118,Grinder-F2W,0
